Models,Datasets,rouge1-precision,rouge1-recall,rouge1-fmeasure,rouge2-precision,rouge2-recall,rouge2-fmeasure,rougeL-precision,rougeL-recall,rougeL-fmeasure
mrm8488/bert2bert_shared-german-finetuned-summarization,"Klexikon (max_length=512, min_length=10, do_sample=false)",0.6136,0.0504,0.0911,0.1671,0.013,0.0236,0.446,0.0355,0.0642
mrm8488/bert2bert_shared-german-finetuned-summarization,"Klexikon (max_length=512, min_length=70, do_sample=false)",0.5669,0.0929,0.1549,0.1247,0.0197,0.0331,0.35,0.056,0.0936
mrm8488/bert2bert_shared-german-finetuned-summarization,"Wikilingua (max_length=512, min_length=2, do_sample=false)",0.2117,0.1763,0.1737,0.0431,0.0369,0.0355,0.1476,0.1254,0.1218
mrm8488/bert2bert_shared-german-finetuned-summarization,"Wikilingua (max_length=512, min_length=30, do_sample=false)",0.2056,0.1923,0.1811,0.0415,0.04,0.0367,0.1401,0.135,0.1247
mrm8488/bert2bert_shared-german-finetuned-summarization,"Wikilingua (max_length=512, min_length=50, do_sample=false)",0.1906,0.2286,0.1914,0.038,0.0473,0.0384,0.1248,0.1561,0.1272
mrm8488/bert2bert_shared-german-finetuned-summarization,"Mlsum (max_length=354, min_length=13, do_sample=false)",0.6496,0.6538,0.6454,0.5838,0.582,0.5789,0.626,0.6283,0.6217
ml6team/mt5-small-german-finetune-mlsum,"Klexikon (max_length=512, min_length=10, do_sample=false)",0.5977,0.0464,0.0836,0.1647,0.012,0.0218,0.4454,0.033,0.0596
ml6team/mt5-small-german-finetune-mlsum,"Klexikon (max_length=512, min_length=70, do_sample=false)",0.5362,0.0777,0.1317,0.1191,0.017,0.0289,0.3509,0.0499,0.0848
ml6team/mt5-small-german-finetune-mlsum,"Wikilingua (max_length=512, min_length=2, do_sample=false)",0.2172,0.1738,0.172,0.0457,0.0375,0.0363,0.1541,0.1244,0.122
ml6team/mt5-small-german-finetune-mlsum,"Wikilingua (max_length=512, min_length=30, do_sample=false)",0.2089,0.1861,0.1782,0.0437,0.0399,0.0374,0.1453,0.1324,0.125
ml6team/mt5-small-german-finetune-mlsum,"Wikilingua (max_length=512, min_length=50, do_sample=false)",0.192,0.2164,0.1868,0.0398,0.0466,0.0391,0.1298,0.1517,0.128
ml6team/mt5-small-german-finetune-mlsum,"Mlsum (max_length=354, min_length=13, do_sample=false)",,,,,,,,,
deutsche-telekom/mt5-small-sum-de-en-v1,"Klexikon (max_length=512, min_length=10, do_sample=false)",0.6419,0.0468,0.0853,0.2045,0.0137,0.0252,0.4996,0.0353,0.0645
deutsche-telekom/mt5-small-sum-de-en-v1,"Klexikon (max_length=512, min_length=70, do_sample=false)",0.5519,0.0783,0.1334,0.131,0.0182,0.0311,0.3873,0.0543,0.0926
deutsche-telekom/mt5-small-sum-de-en-v1,"Wikilingua (max_length=512, min_length=2, do_sample=false)",,,,,,,,,
deutsche-telekom/mt5-small-sum-de-en-v1,"Wikilingua (max_length=512, min_length=50, do_sample=false)",,,,,,,,,
deutsche-telekom/mt5-small-sum-de-en-v1,"Mlsum (max_length=354, min_length=13, do_sample=false)",,,,,,,,,
deutsche-telekom/mt5-small-sum-de-mit-v1,"Klexikon (max_length=512, min_length=10, do_sample=false)",0.6466,0.0471,0.0859,0.2049,0.0135,0.0248,0.502,0.0354,0.0647
deutsche-telekom/mt5-small-sum-de-mit-v1,"Klexikon (max_length=512, min_length=70, do_sample=false)",0.5669,0.0811,0.138,0.1374,0.019,0.0325,0.392,0.0553,0.0941
deutsche-telekom/mt5-small-sum-de-mit-v1,"Wikilingua (max_length=512, min_length=2, do_sample=false)",0.204,0.1447,0.1548,0.0331,0.024,0.0251,0.1501,0.1098,0.1156
deutsche-telekom/mt5-small-sum-de-mit-v1,"Wikilingua (max_length=512, min_length=30, do_sample=false)",0.1999,0.147,0.155,0.0323,0.0244,0.0251,0.1468,0.1116,0.1156
deutsche-telekom/mt5-small-sum-de-mit-v1,"Wikilingua (max_length=512, min_length=50, do_sample=false)",0.167,0.1674,0.1533,0.0268,0.028,0.0249,0.1224,0.1276,0.1143
deutsche-telekom/mt5-small-sum-de-mit-v1,"Mlsum (max_length=354, min_length=13, do_sample=false)",,,,,,,,,
